Ref,Val,Package,PosX,PosY,Rot,Side
"C6","10µF","C_0603_1608Metric",193.610000,-69.880000,0.000000,bottom
"C8","10µF","C_0603_1608Metric",193.437500,-73.760000,0.000000,bottom
"C10","100nF","C_0402_1005Metric",180.160000,-65.030000,90.000000,bottom
"C11","10µF","C_0603_1608Metric",193.462500,-72.610000,0.000000,bottom
"C12","220µF","CP_EIA-3528-15_AVX-H",170.700000,-65.700000,180.000000,bottom
"C14","1µF","C_AVX_Super_Low_ESL",172.300000,-78.800000,270.000000,bottom
"C15","2.2µF","C_AVX_Super_Low_ESL",170.100000,-79.000000,90.000000,bottom
"C16","100nF","C_0402_1005Metric",184.850000,-78.970000,270.000000,bottom
"C17","100nF","C_0402_1005Metric",176.415000,-64.150000,180.000000,bottom
"C19","100nF","C_0402_1005Metric",188.585000,-79.860000,0.000000,bottom
"C21","2.2µF","C_AVX_Super_Low_ESL",170.100000,-77.300000,90.000000,bottom
"C22","2.2µF","C_0603_1608Metric",196.150000,-82.000000,0.000000,bottom
"C23","2.2µF","C_0603_1608Metric",196.150000,-63.150000,180.000000,bottom
"C24","2.2µF","C_0603_1608Metric",196.152500,-80.850000,180.000000,bottom
"C28","100nF","C_0201_0603Metric",183.650000,-78.145000,270.000000,bottom
"C29","100nF","C_0402_1005Metric",190.880000,-66.045000,90.000000,bottom
"C33","100nF","C_0201_0603Metric",190.050000,-71.900000,270.000000,bottom
"C34","100nF","C_0402_1005Metric",174.060000,-77.920000,270.000000,bottom
"C35","10µF","C_1206_3216Metric",177.550000,-70.900000,270.000000,bottom
"C36","10µF","C_1206_3216Metric",179.550000,-70.900000,270.000000,bottom
"C37","1µF","C_0402_1005Metric",174.435000,-67.100000,0.000000,bottom
"C38","100nF","C_0201_0603Metric",173.600000,-68.900000,90.000000,bottom
"C39","10µF","C_0603_1608Metric",177.562500,-73.749999,0.000000,bottom
"C40","100µF","CP_EIA-3216-10_Kemet-I",177.100000,-75.250000,0.000000,bottom
"C41","1µF","C_AVX_Super_Low_ESL",172.300000,-77.100000,270.000000,bottom
"C45","2.2µF","C_0603_1608Metric",196.150000,-62.000000,180.000000,bottom
"C53","120pF","C_0201_0603Metric",192.050000,-74.660000,0.000000,bottom
"D2","SBR1A30T5-7","D_SOD-523",172.500000,-75.800000,180.000000,bottom
"FB3","120R@100Mhz","L_0603_1608Metric",190.842500,-68.820000,0.000000,bottom
"FB4","120R@100Mhz","L_0603_1608Metric",190.780000,-75.540000,0.000000,bottom
"FB5","120R@100Mhz","L_0603_1608Metric",178.587500,-67.750000,180.000000,bottom
"FB6","120R@100Mhz","L_0603_1608Metric",174.375000,-75.675000,90.000000,bottom
"J1","USB_B_Micro","USB_Micro-B_Molex_47346-0001",170.935000,-71.527500,90.000000,bottom
"J4","10132797-011100LF","10132797-011100LF",194.510000,-77.570000,0.000000,bottom
"J5","10132797-011100LF","10132797-011100LF",194.550000,-66.425000,180.000000,bottom
"L2","470nH","L_0603_1608Metric",191.540000,-71.132500,270.000000,bottom
"L3","1µH","L_Wuerth_MAPI-2506",174.800000,-72.750000,270.000000,bottom
"R1","100k","R_0201_0603Metric_mod",176.900000,-67.675000,270.000000,bottom
"R2","24k9","R_0201_0603Metric_mod",175.975000,-66.975000,180.000000,bottom
"R5","470R","R_0201_0603Metric_mod",168.550000,-77.250000,90.000000,bottom
"R9","100R","R_0201_0603Metric_mod",168.860000,-80.630000,180.000000,bottom
"R10","470R","R_0201_0603Metric_mod",168.600000,-79.200000,90.000000,bottom
"R12","2k2","R_0201_0603Metric_mod",183.530000,-61.360000,180.000000,bottom
"R14","2k2","R_0201_0603Metric_mod",183.520000,-60.760000,180.000000,bottom
"R16","2k2","R_0201_0603Metric_mod",187.520000,-65.160000,180.000000,bottom
"R17","2k2","R_0201_0603Metric_mod",187.520000,-64.560000,180.000000,bottom
"R21","453k","R_0201_0603Metric_mod",192.910000,-74.890000,270.000000,bottom
"R22","100k","R_0201_0603Metric_mod",194.625000,-71.400000,90.000000,bottom
"R23","2k2","R_0201_0603Metric_mod",181.470000,-82.640000,0.000000,bottom
